dossier	chambre	stade	fichier	url
JORFDOLE000047533100	senat	Texte de la commission déposé le 26 mars 2024	leg-pjl23-470.html	https://www.senat.fr/leg/pjl23-470.html
JORFDOLE000047533100	senat	Texte de la commission déposé le 27 juin 2023	leg-pjl22-778.html	https://www.senat.fr/leg/pjl22-778.html
JORFDOLE000048110358	assemblee	Texte adopté, en lecture définitive, par l'Assemblée nationale le 21 décembre 2023	dyn-16-textes-l16t0223_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0223_texte-adopte-seance
JORFDOLE000048110358	assemblee	Texte considéré comme adopté, en 1ère lecture, en application de l'article 49, alinéa 3, de la Constitution, par l'Assemblée nationale le 9 novembre 2023	dyn-16-textes-l16t0178_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0178_texte-adopte-seance
JORFDOLE000048110358	assemblee	Texte considéré comme adopté, en nouvelle lecture, en application de l'article 49, alinéa 3, de la Constitution, par l'Assemblée nationale le 18 décembre 2023	dyn-16-textes-l16t0219_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0219_texte-adopte-seance
JORFDOLE000048110358	senat	Texte modifié en 1ère lecture par le Sénat le 12 décembre 2023	leg-tas23-028.html	https://www.senat.fr/leg/tas23-028.html
JORFDOLE000048110358	senat	Texte rejeté en nouvelle lecture par le Sénat le 19 décembre 2023	leg-tas23-040.html	https://www.senat.fr/leg/tas23-040.html
JORFDOLE000048399123	assemblee	Texte adopté, dans les conditions prévues à l'article 45, alinéa 3, de la Constitution, par l'Assemblée nationale le 10 avril 2024	dyn-16-textes-l16t0287_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0287_texte-adopte-seance
JORFDOLE000048399123	assemblee	Texte de la commission rectifié déposé le 13 mars 2024	dyn-16-textes-l16b2334_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b2334_texte-adopte-commission#
JORFDOLE000048399123	assemblee	Texte modifié en 1ère lecture par l'Assemblée nationale le 18 mars 2024	dyn-16-textes-l16t0261_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0261_texte-adopte-seance
JORFDOLE000048399123	senat	Texte adopté en 1ère lecture par le Sénat le 20 décembre 2023	leg-tas23-047.html	https://www.senat.fr/leg/tas23-047.html
JORFDOLE000048399123	senat	Texte adopté, dans les conditions prévues à l'article 45, alinéa 3, de la Constitution, par le Sénat, le 9 avril 2024	leg-tas23-114.html	https://www.senat.fr/leg/tas23-114.html
JORFDOLE000048399123	senat	Texte de la CMP déposé le 4 avril 2024	leg-pjl23-513.html	https://www.senat.fr/leg/pjl23-513.html
JORFDOLE000048399123	senat	Texte de la commission déposé le 13 décembre 2023	leg-pjl23-214.html	https://www.senat.fr/leg/pjl23-214.html
JORFDOLE000048404267	assemblee	Texte adopté en lecture définitive par l'Assemblée nationale,dans les conditions prévues à l'article 45, alinéa 4, de la Constitution, le 9 avril 2024	dyn-16-textes-l16t0285_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0285_texte-adopte-seance
JORFDOLE000048404267	assemblee	Texte adopté en nouvelle lecture par l'Assemblée nationale le 20 mars 2024	dyn-16-textes-l16t0267_texte-adopte-seance	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0267_texte-adopte-seance
JORFDOLE000048404267	assemblee	Texte de la commission déposé le 13 mars 2024	dyn-16-textes-l16b2333_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b2333_texte-adopte-commission#
JORFDOLE000048404267	assemblee	Texte de la commission déposé le 7 février 2024	dyn-16-textes-l16b2157_texte-adopte-commission-	https://www.assemblee-nationale.fr/dyn/16/textes/l16b2157_texte-adopte-commission#
