JORFDOLE000041566073	2020-2021	120
JORFDOLE000041566073	2020-2021	121
JORFDOLE000041893160	2019-2020	440
JORFDOLE000041893160	2019-2020	453
JORFDOLE000041893160	2019-2020	454
JORFDOLE000041893160	2019-2020	479
JORFDOLE000042458094	2019-2020	629
JORFDOLE000042458094	2020-2021	008
JORFDOLE000042458094	2020-2021	038
JORFDOLE000042458094	2020-2021	039
JORFDOLE000042458094	2021-2022	116
JORFDOLE000042458094	2021-2022	503
JORFDOLE000042458094	2021-2022	504
JORFDOLE000042956321	2020-2021	027
JORFDOLE000042956321	2020-2021	042
JORFDOLE000042956321	2020-2021	242
JORFDOLE000042956321	2020-2021	243
JORFDOLE000042956321	2021-2022	023
JORFDOLE000042956321	2021-2022	068
JORFDOLE000042956321	2021-2022	069
JORFDOLE000043113774	2020-2021	130
JORFDOLE000043113774	2020-2021	551
JORFDOLE000043113774	2020-2021	666
JORFDOLE000043113774	2020-2021	667
JORFDOLE000043113774	2020-2021	767
JORFDOLE000043370379	2020-2021	108
JORFDOLE000043370379	2020-2021	154
JORFDOLE000043370379	2020-2021	535
JORFDOLE000043370379	2020-2021	586
JORFDOLE000043370379	2020-2021	587
JORFDOLE000043370379	2020-2021	821
JORFDOLE000043370379	2020-2021	822
JORFDOLE000043701629	2020-2021	718
JORFDOLE000043701629	2020-2021	828
JORFDOLE000043701629	2020-2021	829
JORFDOLE000043701629	2021-2022	008
JORFDOLE000044087520	2021-2022	040
JORFDOLE000044087520	2021-2022	053
JORFDOLE000044087520	2021-2022	163
JORFDOLE000044087520	2021-2022	292
JORFDOLE000044125588	2020-2021	869
JORFDOLE000044125588	2021-2022	014
JORFDOLE000044125588	2021-2022	054
JORFDOLE000044125588	2021-2022	055
JORFDOLE000044125588	2021-2022	088
JORFDOLE000044125588	2021-2022	387
JORFDOLE000044125588	2021-2022	388
JORFDOLE000044288828	2020-2021	837
JORFDOLE000044288828	2021-2022	024
JORFDOLE000044288828	2021-2022	068
JORFDOLE000044288828	2021-2022	070
JORFDOLE000044373959	2021-2022	083
JORFDOLE000044373959	2021-2022	108
JORFDOLE000044373959	2021-2022	225
JORFDOLE000044373959	2021-2022	367
JORFDOLE000044373959	2021-2022	368
JORFDOLE000046027237	2021-2022	142
JORFDOLE000046027237	2021-2022	147
JORFDOLE000046027237	2021-2022	817
JORFDOLE000046027237	2021-2022	827
JORFDOLE000046027237	2021-2022	828
JORFDOLE000046330273	2022-2023	018
JORFDOLE000046330273	2022-2023	029
JORFDOLE000046330273	2022-2023	099
JORFDOLE000046330273	2022-2023	146
JORFDOLE000046382160	2022-2023	032
JORFDOLE000046382160	2022-2023	034
JORFDOLE000046382160	2022-2023	155
JORFDOLE000046382160	2022-2023	156
JORFDOLE000046590737	2022-2023	037
JORFDOLE000046590737	2022-2023	062
JORFDOLE000046590737	2022-2023	140
JORFDOLE000046590737	2022-2023	186
JORFDOLE000046590737	2022-2023	187
JORFDOLE000046590737	2022-2023	339
JORFDOLE000046590737	2022-2023	340
JORFDOLE000047381960	2022-2023	105
JORFDOLE000047381960	2022-2023	123
JORFDOLE000047381960	2022-2023	489
JORFDOLE000047381960	2022-2023	562
JORFDOLE000047381960	2022-2023	563
JORFDOLE000047533100	2022-2023	156
JORFDOLE000047533100	2022-2023	593
JORFDOLE000047533100	2022-2023	777
JORFDOLE000047533100	2022-2023	778
JORFDOLE000047533100	2023-2024	103
JORFDOLE000047533100	2023-2024	469
JORFDOLE000047533100	2023-2024	470
JORFDOLE000048110358	2023-2024	028
JORFDOLE000048110358	2023-2024	040
JORFDOLE000048110358	2023-2024	128
JORFDOLE000048110358	2023-2024	194
JORFDOLE000048110358	2023-2024	220
JORFDOLE000048399123	2023-2024	047
JORFDOLE000048399123	2023-2024	112
JORFDOLE000048399123	2023-2024	114
JORFDOLE000048399123	2023-2024	213
JORFDOLE000048399123	2023-2024	214
JORFDOLE000048399123	2023-2024	512
JORFDOLE000048399123	2023-2024	513
JORFDOLE000048404267	2023-2024	044
JORFDOLE000048404267	2023-2024	105
JORFDOLE000048404267	2023-2024	111
JORFDOLE000048404267	2023-2024	200
JORFDOLE000048404267	2023-2024	201
JORFDOLE000048404267	2023-2024	404
JORFDOLE000048404267	2023-2024	477
JORFDOLE000048404267	2023-2024	478
JORFDOLE000048559623	2023-2024	076
JORFDOLE000048559623	2023-2024	099
JORFDOLE000048559623	2023-2024	278
JORFDOLE000048559623	2023-2024	342
JORFDOLE000048559623	2023-2024	343
JORFDOLE000048559623	2023-2024	428
JORFDOLE000048559623	2023-2024	429
JORFDOLE000048632889	2023-2024	066
JORFDOLE000048632889	2023-2024	112
JORFDOLE000048632889	2023-2024	229
JORFDOLE000048632889	2023-2024	300
JORFDOLE000048632889	2023-2024	504
JORFDOLE000048632889	2023-2024	505
JORFDOLE000049262627	2023-2024	062
JORFDOLE000049262627	2023-2024	100
JORFDOLE000049262627	2023-2024	147
JORFDOLE000049262627	2023-2024	252
JORFDOLE000049262627	2023-2024	253
JORFDOLE000049262627	2023-2024	411
JORFDOLE000049262627	2023-2024	412
JORFDOLE000050427907	2024-2025	071
JORFDOLE000050427907	2024-2025	100
JORFDOLE000050427907	2024-2025	352
JORFDOLE000050427907	2024-2025	401
JORFDOLE000050427907	2024-2025	402
JORFDOLE000051045642	2024-2025	097
JORFDOLE000051045642	2024-2025	127
JORFDOLE000051045642	2024-2025	274
JORFDOLE000051045642	2024-2025	468
JORFDOLE000051045642	2024-2025	469
