dossier	type	rang	url
JORFDOLE000047533100	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2023/avis_ce_ecoi2309270l_cm_10.05.2023.pdf
JORFDOLE000047533100	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2023/ei_ecoi2309270l_cm_10.05.2023.pdf
JORFDOLE000048399123	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2023/avis_ce_ecom2328155l_cm_15.11.2023.pdf
JORFDOLE000048399123	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2023/ei_ecom2328155l_cm_15.11.2023.pdf
JORFDOLE000048404267	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2023/avis_ce_iomd2327297l_cm_15.11.2023.pdf
JORFDOLE000048404267	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2023/ei_iomd2327297l_cm_15.11.2023_0.pdf
JORFDOLE000048559623	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2023/avis_ce_trel2329162l_cm_12.12.2023.pdf
JORFDOLE000048559623	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2023/ei_trel2329162l_cm_12.12.2023.pdf
JORFDOLE000048632889	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2023/avis_ce_enep2329611l_cm_20.12.2023.pdf
JORFDOLE000048632889	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2023/ei_enep2329611l_cm_20.12.2023.pdf
JORFDOLE000049467531	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2024/avis_ce_ecom2409377l_cm-24.04.2024.pdf
JORFDOLE000049467531	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2024/ei_ecom2409377l_cm_24.04.2024.pdf
JORFDOLE000050427907	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2024/avis_ce_ecom2415026l_cm_31.10.2024.pdf
JORFDOLE000050427907	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2024/ei_ecom2415026l_cm_31.10.2024.pdf
JORFDOLE000052390061	avis_conseil_etat	1	https://legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2025/avis_ce_sfht2521808l_cm_14.10.2025.pdf
JORFDOLE000052390061	etude_impact	1	https://legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2025/ei_sfht2521808l_cm_14.10.2025.pdf
JORFDOLE000053776687	avis_conseil_etat	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/les-avis-du-conseil-d-etat-rendus-sur-les-projets-de-loi/2026/avis_ce_agrs2603566l_cm_08.04.2026.pdf
JORFDOLE000053776687	etude_impact	1	https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/etudes-d-impact-des-lois/ei_art_39_2026/ei_agrs2603566l_cm_08.04.2026.pdf
